M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C,M80C,B80C,M85C,B85C,M90C,B90C,M95C,B95C,M100C,B100C,M105C,B105C,M110C,B110C,M115C,B115C,M120C,B120C,M125C,B125C,M130C,B130C,M135C,B135C
-17.523,-742.125,-16.8598,-742.096,-16.1352,-742.117,-15.2801,-742.107,-14.2117,-742.116,-13.4368,-742.087,-12.341,-742.087,-10.995,-742.096,-9.68586,-742.068,-7.94488,-742.416,-6.31654,-742.19,-5.73251,-742.148,-4.48824,-742.15,-3.48543,-742.127,-2.40638,-742.113,-2.03956,-742.098,-1.58456,-742.093,-1.24522,-742.071,-0.980635,-742.055,-0.806823,-742.038,-0.673567,-742.034,-0.546405,-742.063,-0.468561,-742.071,-0.39823,-742.05
-17.5298,-743.389,-16.8664,-743.381,-16.1389,-743.401,-15.2899,-743.391,-14.2172,-743.399,-13.4386,-743.366,-12.3518,-743.361,-10.9985,-743.375,-9.68818,-743.35,-7.94705,-743.701,-6.3205,-743.458,-5.73599,-743.421,-4.49286,-743.42,-3.48899,-743.407,-2.41258,-743.364,-2.04235,-743.389,-1.58868,-743.371,-1.24697,-743.352,-0.983463,-743.322,-0.808597,-743.315,-0.674234,-743.316,-0.547472,-743.33,-0.469774,-743.342,-0.399558,-743.332
-17.5446,-744.648,-16.8725,-744.623,-16.1463,-744.651,-15.2912,-744.654,-14.2201,-744.65,-13.4419,-744.628,-12.3638,-744.607,-11.0058,-744.631,-9.6915,-744.592,-7.95087,-744.936,-6.32516,-744.726,-5.74032,-744.673,-4.49655,-744.677,-3.49336,-744.657,-2.41343,-744.63,-2.04253,-744.645,-1.592,-744.613,-1.24766,-744.599,-0.985373,-744.597,-0.810344,-744.575,-0.676012,-744.565,-0.548675,-744.582,-0.47073,-744.608,-0.400241,-744.576
-17.5427,-745.912,-16.878,-745.882,-16.1487,-745.896,-15.2928,-745.897,-14.2252,-745.893,-13.4456,-745.865,-12.3639,-745.866,-11.0128,-745.876,-9.69559,-745.837,-7.9558,-746.186,-6.33056,-745.972,-5.74422,-745.932,-4.50147,-745.928,-3.49475,-745.902,-2.4146,-745.879,-2.045,-745.884,-1.59339,-745.871,-1.24911,-745.853,-0.987009,-745.837,-0.811993,-745.825,-0.676188,-745.811,-0.549392,-745.843,-0.471454,-745.859,-0.401007,-745.838
-17.5365,-747.131,-16.8808,-747.114,-16.1534,-747.123,-15.2955,-747.135,-14.2301,-747.126,-13.4484,-747.109,-12.3678,-747.1,-11.0188,-747.114,-9.6989,-747.076,-7.95922,-747.422,-6.33356,-747.207,-5.74644,-747.16,-4.50683,-747.171,-3.49709,-747.124,-2.4157,-747.124,-2.05025,-747.117,-1.59476,-747.109,-1.25064,-747.079,-0.987982,-747.071,-0.812833,-747.063,-0.677173,-747.059,-0.550354,-747.063,-0.472045,-747.078,-0.401364,-747.079
-17.5365,-748.377,-16.8858,-748.359,-16.1554,-748.375,-15.2992,-748.388,-14.2338,-748.374,-13.455,-748.343,-12.3704,-748.333,-11.0217,-748.347,-9.70113,-748.316,-7.96127,-748.67,-6.33692,-748.449,-5.75114,-748.401,-4.50846,-748.411,-3.50127,-748.371,-2.41875,-748.358,-2.05062,-748.363,-1.59553,-748.341,-1.25278,-748.324,-0.990429,-748.302,-0.813608,-748.312,-0.678054,-748.304,-0.550562,-748.301,-0.471964,-748.319,-0.402153,-748.313
-17.5416,-749.632,-16.8912,-749.604,-16.1565,-749.621,-15.3014,-749.635,-14.2411,-749.631,-13.4615,-749.604,-12.3731,-749.59,-11.029,-749.598,-9.70437,-749.567,-7.96566,-749.915,-6.3405,-749.7,-5.75439,-749.649,-4.51269,-749.658,-3.50489,-749.633,-2.42187,-749.604,-2.05389,-749.608,-1.59597,-749.592,-1.25481,-749.576,-0.997526,-749.55,-0.814522,-749.555,-0.679897,-749.536,-0.551897,-749.55,-0.473687,-749.559,-0.402452,-749.55
-17.5495,-750.88,-16.8967,-750.846,-16.1608,-750.868,-15.3071,-750.862,-14.245,-750.87,-13.4644,-750.836,-12.3759,-750.84,-11.0342,-750.848,-9.71019,-750.823,-7.97454,-751.158,-6.34514,-750.942,-5.75865,-750.894,-4.51641,-750.892,-3.50756,-750.876,-2.42478,-750.851,-2.05594,-750.854,-1.59809,-750.827,-1.25672,-750.826,-0.994988,-750.803,-0.815701,-750.807,-0.681244,-750.789,-0.552115,-750.808,-0.474069,-750.816,-0.403583,-750.795
-17.5551,-752.121,-16.9017,-752.089,-16.1658,-752.111,-15.3162,-752.117,-14.2469,-752.105,-13.4677,-752.083,-12.3789,-752.081,-11.0358,-752.099,-9.71796,-752.058,-7.98431,-752.401,-6.34939,-752.186,-5.76291,-752.148,-4.52032,-752.154,-3.51047,-752.116,-2.42769,-752.094,-2.05804,-752.097,-1.60061,-752.08,-1.25801,-752.062,-0.995714,-752.046,-0.817707,-752.047,-0.682197,-752.029,-0.553444,-752.05,-0.474871,-752.05,-0.408172,-752.039
-17.5628,-753.363,-16.9061,-753.341,-16.1714,-753.358,-15.3147,-753.374,-14.2511,-753.372,-13.4723,-753.341,-12.3818,-753.342,-11.0374,-753.341,-9.72202,-753.308,-7.98707,-753.65,-6.35233,-753.441,-5.76661,-753.392,-4.52394,-753.395,-3.51299,-753.375,-2.4318,-753.346,-2.06083,-753.352,-1.60345,-753.337,-1.25978,-753.31,-0.996572,-753.285,-0.818914,-753.285,-0.683792,-753.288,-0.554594,-753.302,-0.476025,-753.318,-0.40414,-753.303
-17.5711,-754.615,-16.9126,-754.582,-16.1754,-754.601,-15.3162,-754.613,-14.2564,-754.626,-13.4754,-754.578,-12.3847,-754.575,-11.0405,-754.589,-9.7245,-754.545,-7.9884,-754.898,-6.3568,-754.693,-5.76995,-754.631,-4.52812,-754.658,-3.51674,-754.629,-2.43588,-754.605,-2.06366,-754.61,-1.60549,-754.576,-1.26122,-754.559,-0.998123,-754.55,-0.819156,-754.535,-0.684078,-754.533,-0.555752,-754.552,-0.476183,-754.555,-0.404505,-754.539
-17.5771,-755.859,-16.9188,-755.827,-16.1785,-755.858,-15.3222,-755.854,-14.2587,-755.862,-13.4797,-755.836,-12.3861,-755.829,-11.0429,-755.838,-9.72731,-755.806,-7.98958,-756.137,-6.36139,-755.934,-5.77456,-755.886,-4.53085,-755.886,-3.51977,-755.856,-2.43827,-755.843,-2.06619,-755.847,-1.60704,-755.827,-1.26495,-755.808,-0.998401,-755.796,-0.818036,-755.774,-0.68441,-755.787,-0.556229,-755.802,-0.476454,-755.813,-0.406393,-755.794
-17.579,-757.119,-16.9238,-757.062,-16.1825,-757.089,-15.328,-757.097,-14.2604,-757.113,-13.4849,-757.073,-12.4085,-757.066,-11.0451,-757.078,-9.73433,-757.049,-7.99023,-757.383,-6.36576,-757.182,-5.77958,-757.125,-4.53486,-757.13,-3.52447,-757.11,-2.44105,-757.082,-2.06819,-757.104,-1.60959,-757.062,-1.2657,-757.047,-0.999575,-757.038,-0.820912,-757.028,-0.68539,-757.028,-0.557599,-757.043,-0.474814,-757.045,-0.407477,-757.029
-17.5777,-758.362,-16.9331,-758.318,-16.1869,-758.342,-15.3328,-758.349,-14.263,-758.365,-13.4898,-758.321,-12.4313,-758.309,-11.0477,-758.33,-9.74456,-758.304,-7.99251,-758.644,-6.37003,-758.426,-5.78391,-758.383,-4.53771,-758.389,-3.52828,-758.355,-2.44386,-758.335,-2.07136,-758.336,-1.61199,-758.321,-1.26762,-758.297,-1.00274,-758.288,-0.824571,-758.278,-0.686507,-758.276,-0.558794,-758.278,-0.478574,-758.302,-0.414116,-758.283
-17.5777,-759.612,-16.9412,-759.571,-16.1965,-759.605,-15.3416,-759.593,-14.2681,-759.614,-13.4919,-759.587,-12.4278,-759.567,-11.0507,-759.579,-9.74955,-759.545,-7.99613,-759.886,-6.37387,-759.679,-5.78703,-759.634,-4.54136,-759.645,-3.53012,-759.607,-2.44685,-759.587,-2.07357,-759.594,-1.61425,-759.578,-1.26923,-759.565,-1.00428,-759.541,-0.82564,-759.526,-0.688097,-759.527,-0.559392,-759.537,-0.47989,-759.555,-0.409284,-759.54
-17.5802,-760.873,-16.9464,-760.818,-16.2048,-760.85,-15.3442,-760.85,-14.2716,-760.86,-13.4952,-760.835,-12.4229,-760.829,-11.0539,-760.834,-9.75762,-760.795,-7.99824,-761.143,-6.37678,-760.933,-5.79111,-760.889,-4.54571,-760.891,-3.53229,-760.862,-2.45083,-760.831,-2.07637,-760.843,-1.61619,-760.807,-1.27174,-760.804,-1.00444,-760.803,-0.827046,-760.79,-0.688954,-760.783,-0.559247,-760.799,-0.480811,-760.803,-0.409027,-760.789
-17.5859,-762.108,-16.95,-762.071,-16.206,-762.096,-15.3486,-762.094,-14.275,-762.109,-13.4962,-762.072,-12.4202,-762.06,-11.0566,-762.093,-9.76929,-762.055,-8.00139,-762.413,-6.37941,-762.189,-5.79584,-762.137,-4.54893,-762.135,-3.53684,-762.107,-2.45161,-762.102,-2.0803,-762.094,-1.61889,-762.067,-1.27327,-762.052,-1.00595,-762.042,-0.827761,-762.045,-0.689069,-762.034,-0.560728,-762.047,-0.481382,-762.047,-0.409788,-762.036
-17.5904,-763.376,-16.9538,-763.334,-16.2074,-763.367,-15.3542,-763.365,-14.2789,-763.375,-13.499,-763.343,-12.4211,-763.325,-11.0596,-763.335,-9.77369,-763.308,-8.01521,-763.653,-6.3836,-763.445,-5.79881,-763.392,-4.55173,-763.404,-3.54042,-763.375,-2.45273,-763.347,-2.07916,-763.374,-1.6213,-763.322,-1.2741,-763.311,-1.00414,-763.302,-0.828326,-763.282,-0.691178,-763.291,-0.561579,-763.298,-0.482663,-763.312,-0.410644,-763.293
