M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C
11.4253,2414.08,11.2917,2414.07,10.1476,2414.09,8.84591,2414.01,7.71503,2414.02,6.58789,2414.02,5.62022,2414.01,4.69229,2414.01,3.85786,2413.98,3.06628,2414.46,2.70825,2414.29,2.37856,2414.12
11.4212,2412.84,11.2895,2412.82,10.1459,2412.86,8.84452,2412.78,7.71329,2412.79,6.58611,2412.78,5.61863,2412.77,4.69096,2412.77,3.85592,2412.75,3.06633,2413.21,2.70699,2413.05,2.37727,2412.88
11.4188,2411.61,11.2873,2411.59,10.1446,2411.63,8.84232,2411.53,7.71192,2411.54,6.58456,2411.54,5.61759,2411.53,4.68955,2411.53,3.8537,2411.51,3.06566,2411.98,2.706,2411.82,2.37609,2411.64
11.4146,2410.37,11.2856,2410.35,10.1425,2410.4,8.83996,2410.29,7.70966,2410.31,6.58378,2410.32,5.6167,2410.31,4.68815,2410.3,3.8519,2410.27,3.06412,2410.72,2.70423,2410.57,2.37613,2410.41
11.4156,2409.09,11.2842,2409.08,10.1418,2409.13,8.83878,2409.03,7.70769,2409.05,6.58207,2409.05,5.61491,2409.04,4.68543,2409.03,3.85025,2409.01,3.06329,2409.49,2.70283,2409.32,2.37552,2409.16
11.4134,2407.88,11.2793,2407.85,10.1394,2407.89,8.83805,2407.8,7.7062,2407.81,6.57992,2407.82,5.61336,2407.81,4.68434,2407.79,3.8483,2407.77,3.062,2408.22,2.70209,2408.07,2.37505,2407.9
11.4112,2406.62,11.2774,2406.6,10.1381,2406.64,8.83605,2406.55,7.70443,2406.56,6.57756,2406.58,5.61155,2406.55,4.68344,2406.54,3.84656,2406.51,3.05951,2406.99,2.70048,2406.82,2.37446,2406.65
11.4081,2405.41,11.2769,2405.37,10.1364,2405.41,8.83358,2405.32,7.70191,2405.32,6.57563,2405.33,5.61003,2405.32,4.68151,2405.31,3.84518,2405.27,3.06022,2405.75,2.69918,2405.58,2.37349,2405.42
11.4066,2404.14,11.2768,2404.1,10.1333,2404.12,8.83124,2404.04,7.69999,2404.04,6.57365,2404.08,5.60827,2404.04,4.68021,2404.03,3.8437,2404,3.05854,2404.48,2.69887,2404.31,2.37233,2404.14
11.4041,2402.93,11.2726,2402.9,10.1304,2402.89,8.82902,2402.82,7.6981,2402.83,6.57138,2402.83,5.6063,2402.82,4.67872,2402.81,3.84276,2402.78,3.05694,2403.23,2.69791,2403.09,2.37136,2402.92
11.4035,2401.7,11.2692,2401.64,10.1306,2401.64,8.82587,2401.58,7.6954,2401.57,6.56906,2401.6,5.60449,2401.57,4.67696,2401.56,3.84171,2401.53,3.05537,2402,2.69706,2401.84,2.37041,2401.67
11.4007,2400.46,11.265,2400.42,10.1297,2400.42,8.82374,2400.36,7.69268,2400.33,6.56784,2400.37,5.60268,2400.35,4.67536,2400.33,3.84067,2400.31,3.05396,2400.76,2.69609,2400.61,2.36936,2400.44
11.3953,2399.19,11.2627,2399.17,10.1301,2399.14,8.82187,2399.1,7.69204,2399.07,6.56632,2399.11,5.60121,2399.08,4.67381,2399.07,3.83953,2399.03,3.0532,2399.5,2.69545,2399.34,2.36826,2399.17
11.3915,2397.96,11.2612,2397.94,10.1284,2397.9,8.81979,2397.87,7.69097,2397.84,6.56441,2397.88,5.59874,2397.84,4.67209,2397.83,3.83792,2397.81,3.05222,2398.28,2.69406,2398.11,2.36716,2397.94
11.3893,2396.72,11.2591,2396.68,10.1269,2396.65,8.81789,2396.63,7.68598,2396.58,6.56251,2396.63,5.59654,2396.59,4.67019,2396.58,3.83613,2396.56,3.05211,2397.02,2.69295,2396.85,2.36594,2396.69
11.3872,2395.48,11.2552,2395.44,10.1241,2395.4,8.81548,2395.39,7.68202,2395.35,6.5613,2395.37,5.59521,2395.34,4.66832,2395.34,3.83443,2395.31,3.052,2395.77,2.6917,2395.62,2.36473,2395.45
11.384,2394.19,11.2532,2394.18,10.1217,2394.13,8.81435,2394.12,7.68489,2394.08,6.55935,2394.12,5.59385,2394.07,4.66687,2394.07,3.8326,2394.04,3.05018,2394.5,2.69069,2394.33,2.36353,2394.17
11.3831,2392.98,11.2525,2392.95,10.1198,2392.9,8.81141,2392.9,7.68199,2392.85,6.55699,2392.89,5.59243,2392.85,4.66526,2392.84,3.83092,2392.82,3.04872,2393.28,2.68959,2393.12,2.36244,2392.95
11.3817,2391.73,11.249,2391.7,10.1181,2391.64,8.80985,2391.66,7.67968,2391.59,6.55507,2391.62,5.59038,2391.59,4.66403,2391.6,3.82955,2391.57,3.04742,2392.03,2.68844,2391.86,2.36056,2391.7
11.387,2390.48,11.2458,2390.46,10.1167,2390.39,8.80896,2390.41,7.67854,2390.35,6.55237,2390.38,5.58864,2390.35,4.66273,2390.35,3.82796,2390.33,3.04538,2390.78,2.68708,2390.63,2.35914,2390.45
11.3871,2389.21,11.243,2389.19,10.1157,2389.13,8.80672,2389.13,7.67748,2389.08,6.55049,2389.11,5.58679,2389.09,4.65998,2389.07,3.82688,2389.05,3.04435,2389.5,2.68546,2389.36,2.35806,2389.19
11.3832,2387.98,11.2401,2387.95,10.1139,2387.87,8.80341,2387.89,7.67615,2387.84,6.54909,2387.87,5.58453,2387.84,4.65793,2387.83,3.82482,2387.81,3.04286,2388.27,2.6846,2388.11,2.35767,2387.95
11.3769,2386.7,11.237,2386.66,10.1137,2386.6,8.80178,2386.61,7.67436,2386.54,6.54715,2386.59,5.58283,2386.56,4.65612,2386.56,3.82325,2386.53,3.04139,2386.98,2.6838,2386.84,2.35574,2386.67
11.3774,2385.43,11.2367,2385.39,10.1124,2385.34,8.80057,2385.35,7.67323,2385.28,6.54526,2385.33,5.58082,2385.3,4.65317,2385.28,3.82237,2385.27,3.04026,2385.74,2.68207,2385.58,2.35444,2385.41
11.3724,2384.16,11.2356,2384.13,10.1102,2384.08,8.80081,2384.07,7.67095,2384.02,6.54433,2384.06,5.57875,2384.04,4.64895,2384.04,3.82157,2384.01,3.0401,2384.45,2.68017,2384.3,2.35366,2384.13
11.3693,2382.93,11.2346,2382.89,10.109,2382.84,8.80137,2382.84,7.66863,2382.8,6.54262,2382.83,5.57643,2382.81,4.64963,2382.81,3.81952,2382.77,3.03892,2383.23,2.67925,2383.07,2.35245,2382.92
11.3663,2381.68,11.2327,2381.64,10.1078,2381.61,8.80147,2381.6,7.66727,2381.57,6.54057,2381.59,5.57425,2381.57,4.64811,2381.57,3.81695,2381.54,3.03842,2382,2.67633,2381.84,2.35028,2381.68
11.366,2380.43,11.2296,2380.39,10.1044,2380.38,8.79966,2380.35,7.66404,2380.32,6.53931,2380.35,5.57184,2380.32,4.64642,2380.33,3.81445,2380.3,3.0372,2380.76,2.67238,2380.6,2.35093,2380.44
11.3643,2379.18,11.2263,2379.13,10.1034,2379.13,8.79783,2379.11,7.66085,2379.09,6.53705,2379.1,5.57031,2379.08,4.64502,2379.08,3.8126,2379.05,3.03689,2379.5,2.67049,2379.36,2.35045,2379.19
11.36,2377.92,11.2244,2377.88,10.1015,2377.9,8.7958,2377.86,7.66068,2377.86,6.53478,2377.86,5.56922,2377.85,4.64307,2377.84,3.81089,2377.82,3.03554,2378.27,2.67064,2378.12,2.34984,2377.96
11.359,2376.69,11.2208,2376.64,10.0993,2376.66,8.79412,2376.62,7.6594,2376.61,6.53342,2376.6,5.56774,2376.6,4.64225,2376.6,3.80866,2376.57,3.03472,2377.03,2.67139,2376.87,2.34884,2376.71
11.3547,2375.41,11.2178,2375.37,10.0997,2375.41,8.79204,2375.36,7.65786,2375.35,6.53232,2375.35,5.56647,2375.34,4.64093,2375.34,3.80633,2375.33,3.03326,2375.77,2.67091,2375.62,2.34763,2375.46
11.3524,2374.18,11.213,2374.16,10.0997,2374.17,8.79027,2374.12,7.65707,2374.11,6.5312,2374.12,5.56539,2374.11,4.63939,2374.1,3.80487,2374.08,3.03162,2374.54,2.66973,2374.38,2.34585,2374.22
11.347,2372.93,11.2122,2372.9,10.0973,2372.94,8.78891,2372.88,7.6542,2372.88,6.52864,2372.88,5.56424,2372.86,4.63783,2372.87,3.80388,2372.85,3.03012,2373.29,2.66846,2373.14,2.34305,2372.97
11.3427,2371.7,11.2101,2371.65,10.0948,2371.7,8.78745,2371.63,7.65159,2371.65,6.5271,2371.64,5.56258,2371.63,4.63634,2371.62,3.80254,2371.6,3.02965,2372.05,2.66721,2371.9,2.34271,2371.73
11.3434,2370.45,11.2066,2370.4,10.0936,2370.45,8.78633,2370.37,7.64902,2370.4,6.52565,2370.39,5.56079,2370.38,4.63499,2370.37,3.80019,2370.33,3.02838,2370.81,2.66721,2370.65,2.34218,2370.48
11.3405,2369.19,11.2028,2369.16,10.0916,2369.22,8.7847,2369.13,7.64666,2369.14,6.52372,2369.15,5.55913,2369.13,4.63342,2369.14,3.79917,2369.1,3.02802,2369.56,2.66666,2369.4,2.34149,2369.23
11.338,2367.96,11.1969,2367.92,10.0907,2367.96,8.78204,2367.89,7.64396,2367.89,6.52238,2367.89,5.55755,2367.88,4.6318,2367.89,3.79672,2367.85,3.02614,2368.31,2.66528,2368.16,2.34003,2367.99
11.3393,2366.71,11.1959,2366.67,10.0894,2366.72,8.78026,2366.64,7.64198,2366.66,6.52112,2366.65,5.55639,2366.63,4.63014,2366.64,3.79424,2366.6,3.02427,2367.06,2.66411,2366.9,2.3396,2366.74
11.3394,2365.44,11.1975,2365.41,10.0896,2365.47,8.77857,2365.38,7.64043,2365.39,6.51937,2365.4,5.55422,2365.38,4.62829,2365.37,3.7924,2365.34,3.02283,2365.81,2.6629,2365.64,2.33865,2365.47
11.3392,2364.22,11.1957,2364.19,10.0922,2364.22,8.77725,2364.15,7.63968,2364.16,6.51743,2364.16,5.55223,2364.15,4.62571,2364.14,3.79228,2364.11,3.02141,2364.56,2.66239,2364.42,2.33763,2364.24
11.3413,2362.98,11.1904,2362.96,10.0905,2362.99,8.77555,2362.92,7.64355,2362.92,6.51564,2362.93,5.55007,2362.91,4.62338,2362.91,3.79132,2362.87,3.02042,2363.32,2.6615,2363.17,2.33546,2363
11.3407,2361.75,11.1884,2361.73,10.0883,2361.75,8.7731,2361.68,7.64656,2361.69,6.51418,2361.69,5.54867,2361.67,4.62113,2361.67,3.79004,2361.63,3.01907,2362.09,2.66018,2361.93,2.33498,2361.76
11.3377,2360.51,11.1885,2360.48,10.0877,2360.5,8.77086,2360.43,7.64385,2360.42,6.51289,2360.44,5.54637,2360.41,4.61843,2360.41,3.78834,2360.38,3.01759,2360.82,2.6588,2360.67,2.33453,2360.52
11.3379,2359.29,11.1854,2359.26,10.0868,2359.25,8.76714,2359.19,7.64142,2359.19,6.51109,2359.2,5.5442,2359.17,4.61573,2359.17,3.78708,2359.14,3.01569,2359.59,2.65766,2359.44,2.33344,2359.27
11.3339,2358.03,11.1881,2358.01,10.086,2358,8.7638,2357.95,7.63951,2357.93,6.50852,2357.96,5.54223,2357.92,4.61405,2357.91,3.78583,2357.89,3.01077,2358.34,2.6569,2358.19,2.33213,2358.03
11.3279,2356.79,11.184,2356.76,10.0841,2356.75,8.76107,2356.7,7.63759,2356.68,6.50711,2356.71,5.54048,2356.66,4.61297,2356.67,3.78457,2356.64,3.00747,2357.1,2.65523,2356.94,2.33057,2356.77
